"","GTEX.117XS.0526.SM.5987Q","GTEX.11DXY.0426.SM.5H12R","GTEX.11EQ8.0826.SM.5N9FG","GTEX.11EQ9.0626.SM.5A5K1","GTEX.11GSO.0626.SM.5A5LW","GTEX.1211K.0726.SM.5FQUW","GTEX.131XF.1826.SM.5EGKG","GTEX.131YS.0726.SM.5P9G9","GTEX.132NY.1026.SM.5P9IY","GTEX.13O21.2226.SM.5MR3L","GTEX.13O3P.0726.SM.5J2OM","GTEX.R55E.0826.SM.2TC5M","GTEX.TKQ1.0126.SM.33HB3","GTEX.WOFL.0726.SM.3MJG4","GTEX.WYBS.1926.SM.3NM8N","GTEX.YFCO.0326.SM.4W1ZP","GTEX.ZE7O.1126.SM.57WC8","GTEX.ZLWG.0526.SM.4WWFB","GTEX.ZPCL.0126.SM.4WWC8","GTEX.ZZ64.0126.SM.5GZXA"
"ENSG00000255341",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000154143",0,0,1,0,0,0,4,2,0,0,0,0,0,2,0,4,0,2,0,0
"ENSG00000154144",1778,2481,3197,3516,1918,2451,2147,3509,3151,2644,3869,1600,5190,3422,3911,3459,2019,2852,2300,2785
"ENSG00000110013",2700,4754,4639,3454,6295,3150,2630,5716,6110,4338,2557,3365,6620,3001,6668,6821,2585,6249,4068,4616
"ENSG00000064199",201,369,153,297,243,289,225,305,426,322,98,273,434,213,442,551,176,516,302,284
"ENSG00000154146",646,798,400,515,268,323,747,1092,610,724,883,737,726,1332,1022,654,825,983,767,431
"ENSG00000255045",48,66,23,26,70,40,21,86,47,53,32,23,65,37,56,47,34,55,27,31
"ENSG00000019102",2589,1703,2652,2369,4608,4349,1622,3877,3263,1592,1973,2591,4702,1972,3047,2973,976,3297,1775,1556
"ENSG00000149564",7382,13672,13836,18896,10924,11171,9644,15239,16272,18606,11988,11745,16915,14779,18786,25350,7679,16964,20311,17568
"ENSG00000250073",245,230,351,436,240,254,280,429,415,379,250,187,471,271,370,532,167,488,351,397
"ENSG00000120458",2474,3007,7829,4599,2611,2612,2667,5177,5891,4341,5288,2273,6445,4962,4334,6370,2524,3166,2905,2826
