"","GTEX.111VG.0526.SM.5N9BW","GTEX.117XS.0526.SM.5987Q","GTEX.11GSO.0626.SM.5A5LW","GTEX.11NV4.0626.SM.5N9BR","GTEX.132NY.1026.SM.5P9IY","GTEX.13NZ9.1126.SM.5MR37","GTEX.13O21.2226.SM.5MR3L","GTEX.13O3P.0726.SM.5J2OM","GTEX.14ABY.0926.SM.5Q5DY","GTEX.14AS3.0226.SM.5Q5B6","GTEX.14BMU.0226.SM.5S2QA","GTEX.PLZ4.1226.SM.2I5FE","GTEX.R55G.0726.SM.2TC6J","GTEX.WOFL.0726.SM.3MJG4","GTEX.WYBS.1926.SM.3NM8N","GTEX.YFC4.2626.SM.5P9FQ","GTEX.ZLWG.0526.SM.4WWFB","GTEX.ZPCL.0126.SM.4WWC8","GTEX.ZYY3.1926.SM.5GZXS","GTEX.ZZ64.0126.SM.5GZXA"
"ENSG00000212259",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
"ENSG00000164291",281,336,348,374,579,644,585,381,942,545,370,551,106,332,683,562,515,649,321,391
"ENSG00000178015",8,14,3,26,0,3,22,12,6,12,37,15,10,18,19,30,16,6,38,19
"ENSG00000175449",47,40,44,71,114,61,65,69,115,86,49,117,15,91,78,154,49,57,61,60
"ENSG00000145757",36,20,37,20,22,30,25,22,32,36,23,68,13,48,16,60,27,18,38,59
"ENSG00000250240",8,8,9,9,5,19,20,0,1,3,0,6,7,5,13,7,5,12,8,7
"ENSG00000164292",4241,2378,3069,1045,2492,2938,3862,5319,2173,2988,2069,7636,815,4725,2880,1661,3990,2856,4389,5479
"ENSG00000173221",1098,335,310,1771,623,1693,1037,926,551,698,1429,1062,416,1998,799,2267,1848,1262,1130,1280
"ENSG00000251348",44,29,4,6,37,11,34,45,1,17,15,30,7,6,22,0,30,24,30,33
"ENSG00000251000",5,2,2,20,3,12,7,9,4,5,10,8,6,11,10,16,4,5,20,7
"ENSG00000251409",5,0,0,6,4,4,4,2,2,0,0,2,0,0,6,8,4,2,4,2
"ENSG00000272021",2,5,0,1,2,4,0,5,2,2,2,2,3,0,2,4,8,2,5,4
"ENSG00000236882",29,15,40,25,21,13,37,57,10,50,6,83,6,94,65,38,48,11,67,27
"ENSG00000250362",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0
"ENSG00000118985",1346,3542,4028,3784,2185,4226,4133,5636,3481,2276,3687,5250,990,6314,4587,5024,8817,2248,3348,5989
"ENSG00000250955",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000213716",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000250551",1,2,4,5,1,2,1,3,1,2,1,1,0,3,1,1,2,3,1,1
"ENSG00000207578",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000206997",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000249746",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000250158",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251314",3,7,7,2,11,3,6,2,5,13,4,1,0,2,2,2,6,0,0,6
"ENSG00000175426",20,18,4,12,54,55,674,1475,41,35,1253,605,282,1987,969,94,2060,73,738,887
"ENSG00000153113",9156,10022,7455,9040,8386,8777,10084,8630,12780,6000,6008,19273,2416,10342,17846,10720,11365,9600,14016,11196
"ENSG00000238518",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264129",1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
"ENSG00000249180",29,11,1,17,11,9,6,16,13,9,2,13,2,13,16,10,4,2,5,5
"ENSG00000164307",2278,1767,1395,3400,2133,3596,2240,1913,2831,1929,2936,2649,1024,2782,2104,6021,2473,1860,2669,2270
"ENSG00000248734",70,75,50,130,71,93,73,71,45,90,80,59,21,93,100,117,48,25,70,86
"ENSG00000272109",3,8,3,38,10,4,5,3,4,7,6,3,9,12,15,24,15,2,7,9
"ENSG00000247121",118,115,124,173,189,106,109,65,107,139,92,148,34,159,74,259,121,112,126,85
"ENSG00000164308",3288,323,1517,5168,3485,5992,1776,1265,692,1711,1007,631,1605,2919,456,8900,1349,260,2481,772
"ENSG00000113441",1367,1268,1007,2152,2050,2093,1930,1647,2082,1455,1573,2030,791,1662,1451,3962,2028,1622,987,2338
"ENSG00000227836",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000200884",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000213701",0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,5,0,0,2
"ENSG00000251606",4,7,2,90,0,21,7,1,4,6,8,4,16,2,1,50,4,3,9,11
"ENSG00000145721",156,42,112,185,259,216,633,85,697,32,78,83,26,263,560,235,309,789,24,1892
"ENSG00000058729",625,400,881,929,847,905,1070,795,1511,757,829,1001,235,934,1359,1465,1685,1129,611,1096
"ENSG00000206698",0,0,0,0,1,1,1,2,0,1,0,1,1,2,0,7,0,2,0,0
"ENSG00000251513",3,0,0,5,4,1,0,0,1,0,2,5,0,0,4,11,1,0,0,6
"ENSG00000248758",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
"ENSG00000251054",0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,2,0,0,0,0
"ENSG00000249761",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251389",0,0,0,2,2,0,2,0,0,0,0,2,0,2,0,4,0,0,0,2
"ENSG00000249977",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000250331",0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,2
"ENSG00000248931",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000251193",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000248202",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,8,3,2,1,2
"ENSG00000249101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000248901",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000249135",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"ENSG00000238000",16,18,29,67,54,72,34,24,37,16,54,55,10,38,53,64,52,28,30,31
"ENSG00000176183",0,2,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
"ENSG00000250221",0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,3,3,1,5
"ENSG00000250830",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000249990",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000249448",0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,3,0,0,0
"ENSG00000251102",1,4,6,6,2,2,1,6,4,4,2,8,1,5,4,2,4,9,0,4
"ENSG00000223053",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251553",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000174136",1213,1624,1898,1437,1934,2332,1775,1602,2236,1789,1168,3256,350,1531,2381,1903,2032,1680,1144,1551
"ENSG00000246763",24,39,126,31,75,104,59,43,48,62,14,118,11,109,47,38,70,36,45,39
"ENSG00000250162",2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
"ENSG00000153922",1813,1832,1917,2631,1972,2957,2013,3211,2265,1908,2115,2887,791,2991,2577,4789,4870,1775,1966,2809
"ENSG00000222610",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000248489",30,14,35,29,34,36,27,52,25,24,18,37,7,22,33,65,22,21,29,25
"ENSG00000200351",0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"ENSG00000241597",4,2,0,3,6,5,2,3,0,5,0,6,0,2,5,14,1,1,2,2
"ENSG00000249444",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000206356",0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0
"ENSG00000227762",1,1,3,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0
"ENSG00000249515",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000248236",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000248928",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000250391",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000249963",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000199378",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000270232",1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,4,0,0
"ENSG00000270230",0,0,2,0,0,0,0,0,0,1,0,1,2,3,0,2,21,0,2,0
"ENSG00000271687",2,1,0,0,0,0,0,1,0,0,0,1,1,0,2,0,2,0,1,0
"ENSG00000270906",37,10,3,2,4,3,28,12,5,10,2,18,10,16,10,10,58,10,19,23
"ENSG00000270350",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000271480",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000270388",1,0,0,0,2,0,0,0,0,3,0,0,1,0,0,0,4,0,0,2
"ENSG00000270307",8,10,2,4,5,1,9,8,3,8,2,15,7,4,4,4,13,9,7,6
"ENSG00000270225",8,2,5,7,4,3,3,7,0,1,4,10,7,7,2,0,9,3,6,2
"ENSG00000271207",1,2,0,0,1,0,2,0,0,4,0,4,2,2,1,4,18,10,2,3
"ENSG00000207077",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000249787",0,0,0,0,2,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0
"ENSG00000247877",2,3,3,8,3,3,8,0,8,8,0,1,0,0,0,10,2,0,4,0
"ENSG00000174132",678,705,1006,695,985,664,800,567,1133,410,653,792,141,732,1255,727,1089,895,695,941
"ENSG00000250806",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207269",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000113532",1214,483,46,2091,1030,1540,597,538,1375,549,825,554,359,886,417,3254,471,627,876,248
"ENSG00000221263",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264318",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000251261",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000249495",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000199786",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000248261",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000173930",10,26,10,27,20,15,6,20,22,5,26,116,1,28,8,10,34,12,25,43
"ENSG00000222987",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000205359",4,0,0,22,4,0,0,1,1,3,0,2,2,0,0,0,1,0,0,0
"ENSG00000249017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000250958",2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000247402",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000250682",2,0,0,13,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"ENSG00000145730",7762,10957,10199,5511,9522,8677,8911,10129,16112,6458,7349,14126,2180,10047,11661,9380,12355,14900,8898,17750
"ENSG00000175749",17,1,1,9,9,5,10,7,8,0,4,9,0,3,15,21,10,3,6,8
"ENSG00000145723",276,191,401,454,532,527,473,404,541,471,311,448,88,466,436,890,497,429,334,395
"ENSG00000145725",2881,1822,2644,3221,3724,2910,2743,2782,3181,2622,2068,3203,681,2814,2542,4477,2992,2092,2206,3254
"ENSG00000248203",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000181751",384,556,304,577,774,590,761,556,634,549,545,528,112,647,1162,608,878,1241,443,588
"ENSG00000250567",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226926",1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0
"ENSG00000248757",1,0,0,2,0,1,0,5,2,1,1,0,0,2,0,0,0,1,0,0
"ENSG00000112874",962,471,507,676,1572,613,1042,802,1273,872,735,1130,207,731,1147,757,1766,1275,718,1225
"ENSG00000251026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ENSG00000201910",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000239808",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251574",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252881",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000253776",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000253584",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232159",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000201790",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251204",1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0
"ENSG00000250145",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0
"ENSG00000252337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251027",0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000250273",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000184349",343,600,18,287,882,716,537,700,722,454,360,568,80,549,401,593,976,604,384,377
"ENSG00000249959",0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
"ENSG00000248827",0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0
"ENSG00000239708",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251732",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000145743",1481,1155,1979,1807,2185,1394,1821,1261,3634,1170,1161,2193,299,1359,2698,1809,2430,2005,1418,2061
"ENSG00000244245",10,4,9,5,4,6,4,8,9,3,0,16,3,5,4,10,8,6,4,3
"ENSG00000272523",156,94,241,107,253,204,200,207,185,136,82,209,30,225,257,198,208,141,109,126
"ENSG00000151422",1628,1688,2275,1484,2294,2602,2292,1861,2396,1814,1512,3260,522,2131,2799,2138,3182,2247,1187,3139
"ENSG00000249921",0,0,1,2,2,0,0,2,0,0,2,1,3,0,2,0,1,0,0,0
"ENSG00000250383",0,0,1,0,0,0,0,4,0,0,0,1,1,2,0,0,0,0,0,0
"ENSG00000207404",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000250441",0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0
"ENSG00000206593",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000176857",18,10,9,16,18,12,10,18,12,1,6,2,1,15,3,16,7,7,8,8
"ENSG00000249476",191,132,23,203,276,267,128,169,164,176,90,190,126,282,92,499,198,157,163,227
"ENSG00000198961",5565,6260,5629,7303,9937,6906,8790,7505,14288,5558,5892,8306,1749,8236,10358,9101,11178,8917,5118,10241
"ENSG00000248867",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251367",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000248876",0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
"ENSG00000248440",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000214794",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000266090",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000271849",6,4,9,13,16,2,4,1,3,6,6,5,4,2,24,11,5,5,2,6
"ENSG00000112893",398,557,1307,718,616,851,731,977,1224,754,1071,1906,284,591,625,1426,1080,953,568,773
"ENSG00000202512",0,2,0,0,0,2,0,2,0,0,0,1,1,0,0,0,4,0,0,0
"ENSG00000249068",1,2,0,8,4,0,3,13,5,0,6,7,2,8,0,14,0,1,1,3
"ENSG00000254106",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000253224",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"ENSG00000186952",81,181,335,178,240,130,170,71,316,172,73,304,19,118,202,160,168,151,125,119
"ENSG00000221436",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207177",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000164209",2409,1674,2361,3137,3595,3157,3397,2780,3711,2512,2380,3618,905,3388,3426,4847,3709,3135,2259,3634
"ENSG00000270779",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000248966",0,3,2,5,0,1,3,2,0,0,2,5,3,2,0,4,7,0,3,0
"ENSG00000248428",0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"ENSG00000251627",0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"ENSG00000145777",28,52,53,66,71,75,24,31,119,64,40,184,8,40,78,80,106,51,149,40
"ENSG00000253613",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000134987",1887,1092,1183,2519,2178,2216,2017,1934,2199,1983,1781,1657,554,1937,1784,3905,2622,2057,1464,2046
"ENSG00000250728",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000214784",11,16,19,9,3,5,6,11,19,10,4,47,9,19,25,21,25,10,17,9
"ENSG00000152495",229,44,18,611,93,1016,106,162,144,355,576,127,342,67,152,2842,70,45,617,44
"ENSG00000249318",0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0
"ENSG00000248268",0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"ENSG00000164211",1546,806,552,2231,2510,1882,1671,2138,2377,1010,1306,1568,485,2526,2022,2454,1203,1356,1007,989
"ENSG00000246859",399,323,131,298,648,411,214,112,311,433,121,165,68,438,111,438,124,189,187,140
"ENSG00000221310",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000249619",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251099",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000134986",1046,1244,941,1018,1341,1309,406,357,2105,1121,317,593,149,987,627,1594,401,753,926,288
"ENSG00000253057",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000249439",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"ENSG00000250095",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"ENSG00000129595",734,927,4922,796,965,1691,1395,1665,1117,1017,892,2781,230,1230,1645,985,1312,1377,964,1308
"ENSG00000224032",1230,1214,1359,1087,841,1629,904,1438,1711,1375,656,1553,238,1116,1641,2150,969,913,1408,1107
"ENSG00000238363",6,7,0,7,7,5,0,2,2,5,2,7,0,6,3,7,8,2,4,4
"ENSG00000250882",4,4,2,2,3,4,5,18,3,9,5,4,2,8,8,4,2,2,2,6
"ENSG00000251187",9,7,8,9,7,5,11,30,5,10,4,22,3,11,6,11,24,3,3,23
"ENSG00000251076",1,11,558,6,31,10,14,35,30,55,15,36,6,59,38,14,12,54,71,4
"ENSG00000248350",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0
"ENSG00000268358",85,71,297,60,64,108,115,75,66,50,70,76,18,63,118,72,190,224,63,153
"ENSG00000248430",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000251014",0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,3,0,0,0,0
"ENSG00000250358",0,1,0,0,4,0,0,0,5,0,0,0,0,0,1,7,0,0,4,0
"ENSG00000134982",1110,1224,1344,1468,1397,2949,1930,1073,2510,1239,1517,1801,549,1476,1557,2978,2032,2012,1211,1623
"ENSG00000250045",11,0,2,10,7,2,0,3,4,0,0,0,1,3,0,1,0,0,1,0
"ENSG00000212370",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000153037",1365,1173,1473,2712,2550,1860,1918,1685,2481,1079,1615,1283,437,1923,2665,2657,2608,1956,1363,2143
"ENSG00000129625",10478,9446,14580,10732,20973,12162,17474,8592,34989,9735,8597,14307,2584,10153,24779,13188,21037,15446,8630,14516
"ENSG00000249947",27,12,15,29,32,75,37,37,25,35,18,56,15,35,21,101,17,33,21,17
"ENSG00000212643",34,56,24,97,137,114,55,78,67,47,38,65,33,64,70,142,78,76,40,84
"ENSG00000270067",8,38,17,76,93,81,50,67,43,57,35,43,16,86,34,102,57,48,30,44
"ENSG00000272389",5,7,2,16,8,20,9,14,3,1,6,21,9,11,3,26,14,2,11,26
"ENSG00000266499",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000172795",2539,926,1362,2995,2252,2805,1657,2971,2274,2354,1634,2859,843,2320,2311,5992,1345,1292,1782,1710
"ENSG00000171444",1815,1034,545,1697,1597,2028,1948,1552,2312,912,840,1896,451,2185,1233,2683,1839,1353,1160,1526
"ENSG00000232633",0,0,0,2,0,6,2,0,0,0,5,4,0,0,0,0,2,4,3,3
"ENSG00000212122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000251741",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000047188",3106,2640,3209,4505,4547,3638,3859,4726,3512,3114,2244,4621,1150,3988,4279,6982,4694,2726,2913,4397
"ENSG00000251628",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000222706",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000080709",58,31,0,42,84,127,50,25,91,12,24,13,2,63,15,37,36,38,7,26
"ENSG00000246316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251542",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251132",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000250242",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000152503",43,32,18,93,64,80,15,26,34,28,35,26,1,16,24,79,36,52,57,33
"ENSG00000250472",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000249791",1,0,1,2,1,2,0,4,2,2,3,2,0,1,2,4,2,0,1,3
"ENSG00000248175",488,135,248,584,501,598,364,309,402,406,320,274,161,411,381,842,471,363,243,383
"ENSG00000164219",702,443,545,879,821,673,686,599,907,491,530,682,216,770,735,1129,877,657,558,775
"ENSG00000271797",4,1,7,14,20,15,8,4,13,8,12,7,6,5,8,25,16,18,13,22
"ENSG00000243304",1,4,5,7,12,6,0,2,4,4,10,5,3,3,11,25,7,5,7,3
"ENSG00000164221",370,330,198,510,354,385,346,186,555,282,259,469,90,331,351,540,380,261,286,364
"ENSG00000250197",0,0,0,0,1,0,1,1,0,0,0,0,0,3,0,0,0,0,0,1
"ENSG00000249026",0,0,0,0,1,0,0,4,3,0,2,3,0,2,3,1,2,4,0,8
"ENSG00000248722",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000249944",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000249433",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000250444",0,8,0,1,0,0,0,1,2,0,0,4,0,7,6,6,0,3,0,0
"ENSG00000145780",1344,1510,763,1574,1570,1392,1645,1535,1785,1002,924,1646,513,1949,1278,2228,1861,1197,1108,1894
"ENSG00000243414",430,207,232,649,378,866,368,411,447,408,388,492,162,465,364,930,462,446,313,292
"ENSG00000249249",64,74,71,89,35,61,51,33,94,41,24,50,10,50,97,136,58,40,32,40
"ENSG00000134970",2873,3115,4513,4174,6718,3588,5389,4094,8862,2915,4487,4671,910,3834,8756,4349,7664,5617,2995,5613
"ENSG00000249021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000248709",0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"ENSG00000251118",0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,2,0,0,0,2
"ENSG00000222598",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000129596",877,965,45,586,409,1430,1052,475,1495,774,741,484,233,710,571,529,1052,1208,1046,625
"ENSG00000145782",2822,2195,2063,3354,2738,3787,2389,3622,2477,2990,1867,3995,859,3856,3047,5804,2602,2151,2905,2443
"ENSG00000177879",2695,2114,3102,2441,2231,2270,2279,2803,3332,1902,2328,4469,648,3132,5505,3297,3930,3406,2544,3082
"ENSG00000172901",275,95,6,14,22,54,24,191,16,205,10,158,33,342,86,12,72,22,313,35
"ENSG00000248295",0,0,0,0,0,2,0,0,0,0,0,2,0,0,6,0,0,0,0,0
"ENSG00000221778",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"ENSG00000220996",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000268223",0,0,0,2,0,1,0,0,2,0,0,2,0,0,0,12,0,0,10,0
"ENSG00000185641",98,104,113,114,88,97,54,182,103,45,11,258,42,132,243,201,95,86,88,61
"ENSG00000272265",10,0,12,12,10,23,7,6,13,9,14,15,1,4,24,24,17,14,14,12
"ENSG00000271918",338,148,421,333,589,363,327,401,271,452,228,536,102,362,443,799,307,303,306,271
"ENSG00000145781",1069,944,1016,1391,1686,1314,1299,1063,1730,832,951,1561,279,1285,2270,1816,1348,1126,1244,1087
"ENSG00000212457",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"ENSG00000232916",1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2
"ENSG00000250015",5,4,4,3,2,1,2,4,4,4,3,2,0,4,0,7,2,2,1,1
