"","GTEX.111VG.0526.SM.5N9BW","GTEX.117XS.0526.SM.5987Q","GTEX.11GSO.0626.SM.5A5LW","GTEX.11NV4.0626.SM.5N9BR","GTEX.132NY.1026.SM.5P9IY","GTEX.13NZ9.1126.SM.5MR37","GTEX.13O21.2226.SM.5MR3L","GTEX.13O3P.0726.SM.5J2OM","GTEX.14ABY.0926.SM.5Q5DY","GTEX.14AS3.0226.SM.5Q5B6","GTEX.14BMU.0226.SM.5S2QA","GTEX.PLZ4.1226.SM.2I5FE","GTEX.R55G.0726.SM.2TC6J","GTEX.WOFL.0726.SM.3MJG4","GTEX.WYBS.1926.SM.3NM8N","GTEX.YFC4.2626.SM.5P9FQ","GTEX.ZLWG.0526.SM.4WWFB","GTEX.ZPCL.0126.SM.4WWC8","GTEX.ZYY3.1926.SM.5GZXS","GTEX.ZZ64.0126.SM.5GZXA"
"ENSG00000136404",1084,556,853,694,1098,663,868,805,1324,610,767,1013,189,909,1267,1082,1048,829,893,755
"ENSG00000260579",16,12,27,23,21,12,30,30,39,4,7,21,3,41,40,30,24,12,30,24
"ENSG00000166503",1801,2056,2943,1598,2074,1827,2087,2546,3656,1301,1348,2965,386,2778,3933,2262,2604,2400,2216,2273
"ENSG00000259986",0,1,3,0,0,0,1,4,0,2,1,4,1,4,4,0,0,0,0,3
"ENSG00000169594",59,21,4,27,12,42,25,11,30,10,15,22,6,51,34,49,28,45,80,22
"ENSG00000140600",2,2,8,4,5,2,2,8,3,1,0,3,10,4,4,2,0,2,2,0
"ENSG00000223180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000156218",955,1625,284,692,1264,888,617,824,1648,503,638,819,245,505,595,923,1422,1547,893,1679
"ENSG00000212374",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261665",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000200444",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000221484",1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259609",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259404",1,0,0,4,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3
"ENSG00000259694",0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0
"ENSG00000259511",11,3,15,7,16,1,7,13,5,9,9,9,0,31,19,6,9,9,20,8
"ENSG00000259726",134,110,170,32,124,195,140,216,102,118,80,124,24,236,75,125,93,81,110,145
"ENSG00000225151",306,224,252,147,396,605,239,373,262,397,130,172,38,290,518,359,263,206,333,122
"ENSG00000240466",0,4,1,3,3,2,1,3,2,3,0,4,0,0,0,3,1,0,3,1
"ENSG00000184206",151,148,178,150,207,288,209,309,184,64,65,88,45,262,108,154,104,55,248,292
"ENSG00000259633",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259683",43,25,25,38,15,35,19,34,34,24,17,59,9,40,28,53,18,10,67,33
"ENSG00000244056",4,12,17,6,3,2,7,13,8,1,2,18,7,6,17,11,7,5,18,11
"ENSG00000259570",3,4,0,5,2,8,2,11,7,5,4,10,4,15,4,14,2,1,3,10
